,eep,age,feh,mass,initial_mass,radius,density,logTeff,Teff,logg,logL,Mbol,delta_nu,nu_max,phase,dm_deep,J_mag,H_mag,K_mag,G_mag,BP_mag,RP_mag,W1_mag,W2_mag,W3_mag,TESS_mag,Kepler_mag,parallax,distance,AV
1017,286.1426669964917,9.757409110846671,0.280536775215627,0.37300227153370197,0.37300620940002727,0.36714539620977854,10.631815558094146,3.523873269173158,3341.5622790579287,4.880187900884456,-1.8202399967206995,9.290599991801747,390.3039681948814,11281.558423258768,0.0,0.0037985750390103646,9.609309251143628,8.963907315096346,8.75686502371876,12.47649455793896,13.933011498745241,11.349373513890358,8.640297977651555,8.477670336295812,8.360155133837878,11.25454375490364,12.502723256054137,36.657672873987124,27.279418511850384,0.005512867764579347
1018,204.3353769504948,8.337546891910478,0.344548243117894,0.3898244400270609,0.38982519842611235,0.36833290344578634,11.11512039362168,3.5265015332332363,3362.680824982926,4.896854761746915,-1.8089825523963257,9.262456380990814,397.853582957122,11714.671853382659,0.0,0.0180308688739028,9.5915209833558,8.943150704885076,8.73768584345122,12.465738719618232,13.92431529289061,11.33781907984002,8.627494321012833,8.470586839132446,8.356018055612601,11.24199446795059,12.493537306989706,36.52860371683018,27.37580685404792,0.015093395583494165
1019,297.4299128260581,9.944843663500986,0.2846983463291925,0.37422672466307494,0.3742325826133861,0.3695346129529173,10.459791087530757,3.524670452063355,3347.5538427902984,4.875969178780176,-1.8114089370097164,9.26852234252429,386.9687930723645,11161.907840756854,0.0,0.003472712991362816,9.605246723617597,8.957086834113966,8.749439533920395,12.473921227016826,13.930925814436687,11.34670995088582,8.63343503741284,8.471957088380867,8.354700482294218,11.25176980261292,12.500216926452426,36.459432720154666,27.427744355638396,0.021874784056776692
1020,301.1334714741324,10.00112693199576,0.29712797706779887,0.37651406904660323,0.37652072068396397,0.3718238217143092,10.327500506702705,3.5248804295604,3348.8553600466844,4.873230966909437,-1.8051729508754297,9.252932377188575,384.35579216495523,11088.903905058152,0.0,0.003739848638723911,9.597836527580194,8.950674613937588,8.744238992191292,12.466978070873838,13.923700650792172,11.339774082180394,8.63021175476177,8.46960579884531,8.353072015159874,11.244653742935137,12.493670565507776,36.240819290781495,27.59319517520864,0.008986790821992958
1021,301.9495242476933,10.041393344124643,0.2704054227628937,0.37104492932515964,0.3710520936845294,0.3678149122800059,10.519383371788042,3.5250387595702577,3350.698884621436,4.8763458835186,-1.814004639691598,9.275011599228996,388.1985570858657,11166.796875866243,0.0,0.002306107434506984,9.613857514466496,8.966248980038083,8.758991917673935,12.46767909590818,13.912350184746282,11.343916733633144,8.643022357128501,8.482187428787139,8.365163764786317,11.250473274685982,12.491795609617142,36.432601758233794,27.447943647724784,0.013540956782268495
1022,301.9495242476933,10.041393344124643,0.2704054227628937,0.37104492932515964,0.3710520936845294,0.3678149122800059,10.519383371788042,3.5250387595702577,3350.698884621436,4.8763458835186,-1.814004639691598,9.275011599228996,388.1985570858657,11166.796875866243,0.0,0.002306107434506984,9.613857514466496,8.966248980038083,8.758991917673935,12.46767909590818,13.912350184746282,11.343916733633144,8.643022357128501,8.482187428787139,8.365163764786317,11.250473274685982,12.491795609617142,36.432601758233794,27.447943647724784,0.013540956782268495
1023,305.59191853714344,10.104614374819082,0.27750554471486927,0.3712479592223836,0.371256174415852,0.36871407610465345,10.44653815115429,3.524764953620051,3348.3846841522436,4.874443648952511,-1.8129575472269974,9.272393868067493,386.78010091072605,11121.431254457017,0.0,0.002852841376573408,9.597889736292448,8.949711767706862,8.742069272349303,12.461427724268855,13.914238752765298,11.33539445069381,8.625888074987424,8.46452249727869,8.347251159388628,11.240991050693985,12.486929439620905,36.66095546359791,27.276975936782087,0.020419823766331856
1024,303.8022601690158,10.040716788702536,0.3118565900416418,0.377847393358149,0.3778546552678109,0.37381011798650304,10.203936772423233,3.5241469818782645,3343.3663417481307,4.870166741777448,-1.803527397622097,9.248818494055241,381.87640477179684,11020.977203491384,0.0,0.0034412388377984115,9.580034347061892,8.93410949326765,8.728181679600837,12.462014671766433,13.929430932678784,11.331779731249668,8.614777544553355,8.45333565078424,8.336759836062441,11.235284670985699,12.490814015540472,36.37253568222882,27.493271536979695,0.0023171673989721407
1025,283.6144390647047,9.691662623729686,0.2946133068162803,0.37769606367518105,0.3776995837660617,0.3697626872460955,10.535893384642838,3.5244704234210564,3345.8479981468518,4.8794291106880365,-1.8116702434340577,9.269175608585144,388.3486454922193,11254.631283586474,0.0,0.004012820895172154,9.607055475920706,8.961400724972986,8.75510769627425,12.47494291409185,13.931088877395318,11.347884245344524,8.640450981970153,8.47915777438857,8.362423490730922,11.252880611231966,12.501490894992493,36.31497700585961,27.536847946747834,0.002122418799355145
1026,302.1542598653423,10.031853906200272,0.2999697796185134,0.3738435202062472,0.37385052262387064,0.3706009201634872,10.355720800528943,3.5233410164435193,3336.9994648584184,4.873004421417424,-1.814208459548738,9.275521148871846,384.9677023960842,11102.657840333995,0.0,0.002663808071236639,9.591839843689558,8.946925919536437,8.740336058010355,12.475360529618767,13.945187619681672,11.344486100867439,8.624844018700115,8.461628979035845,8.344176968035388,11.247920406919317,12.504218042331308,36.6131539645961,27.31258828362539,0.0027963248421566675
1027,249.49228634794184,9.094549362612899,0.30606004164477374,0.38369618199569144,0.3836975313743724,0.3697814508627627,10.701331998716569,3.5255048969237968,3353.6775671811165,4.8861968636607465,-1.8075122975831213,9.258780743957804,391.19626817445453,11417.348179666988,0.0,0.006407438795424643,9.595939587880554,8.947780922696055,8.740912524323667,12.465140328467651,13.921443949476002,11.3380532921614,8.626959509340553,8.467225946244923,8.350976790485745,11.2429342203493,12.491757933177592,36.43648304310904,27.445019839507328,0.019443805911987053
1028,293.05985908944285,9.89457984884053,0.26619740731662417,0.3697784636144795,0.36978365198577656,0.36579495123444244,10.65942756817249,3.5242918095660896,3345.1070485381247,4.879646569265178,-1.8217806298958745,9.294451574739686,390.9221582110193,11261.84032344232,0.0,0.0020632984811223744,9.611302845534604,8.96574888970304,8.758783986524987,12.465362728726456,13.910990742488092,11.341307352877697,8.642061021970978,8.480071976438921,8.362694620317578,11.247828395355643,12.489591934323315,36.72628424004803,27.2284556059051,0.0025746459510211737
